iter	Passed	Remaining
399	59106	88659
400	59269	88535
401	59414	88383
402	59565	88239
403	59696	88067
404	59870	87957
405	60101	87932
406	60317	87882
407	60478	87752
408	60680	87682
409	60823	87526
410	60985	87397
411	61152	87276
412	61276	87093
413	61424	86944
414	61586	86814
415	61697	86614
416	61832	86447
417	61977	86294
418	62109	86123
419	62240	85951
420	62411	85833
421	62530	85645
422	62629	85430
423	62711	85192
424	62798	84963
425	62894	84745
426	62989	84526
427	63062	84279
428	63164	84072
429	63237	83826
430	63327	83604
431	63437	83408
432	63558	83228
433	63688	83059
434	63808	82878
435	63924	82690
436	64025	82485
437	64114	82265
438	64189	82027
439	64263	81789
440	64379	81605
441	64500	81427
442	64650	81286
443	64804	81150
444	64920	80967
445	65029	80776
446	65149	80599
447	65226	80368
448	65339	80182
449	65436	79977
450	65590	79842
451	65775	79745
452	65875	79545
453	65945	79308
454	66025	79085
455	66125	78886
456	66200	78657
457	66268	78422
458	66336	78187
459	66422	77974
460	66545	77804
461	66674	77642
462	66821	77501
463	66971	77364
464	67159	77269
465	67275	77092
466	67497	77036
467	67624	76872
468	67770	76729
469	68010	76692
470	68329	76743
471	68542	76674
472	68734	76581
473	68955	76519
474	69087	76359
475	69242	76225
476	69331	76017
477	69441	75833
478	69546	75644
479	69713	75523
480	69908	75431
481	70123	75360
482	70238	75182
483	70321	74970
484	70417	74773
485	70521	74584
486	70598	74367
487	70685	74161
488	70765	73949
489	70875	73768
490	71027	73631
491	71143	73456
492	71297	73321
493	71454	73190
494	71630	73077
495	71787	72944
496	71968	72837
497	72144	72723
498	72308	72597
499	72492	72492
500	72674	72384
501	72843	72263
502	73035	72164
503	73132	71971
504	73342	71890
505	73580	71835
506	73679	71644
507	73804	71480
508	73966	71350
509	74156	71248
510	74369	71167
511	74499	71007
512	74645	70862
513	74794	70719
514	74925	70561
515	75073	70417
516	75238	70290
517	75396	70156
518	75565	70033
519	75707	69883
520	75860	69745
521	76025	69617
522	76250	69543
523	76418	69418
524	76568	69276
525	76724	69139
526	76843	68969
527	77016	68847
528	77173	68711
529	77343	68587
530	77492	68444
531	77609	68272
532	77712	68089
533	77865	67949
534	77988	67784
535	78100	67609
536	78201	67424
537	78309	67247
538	78444	67092
539	78564	66925
540	78697	66768
541	78807	66594
542	79005	66492
543	79097	66302
544	79171	66097
545	79282	65923
546	79367	65728
547	79480	65556
548	79626	65412
549	79728	65232
550	79822	65046
551	79912	64856
552	80003	64668
553	80085	64473
554	80220	64320
555	80298	64123
556	80370	63921
557	80467	63739
558	80533	63533
559	80609	63336
560	80689	63141
561	80782	62958
562	80868	62770
563	80980	62601
564	81050	62402
565	81115	62198
566	81182	61996
567	81256	61801
568	81325	61601
569	81436	61434
570	81505	61236
571	81582	61044
572	81654	60849
573	81728	60655
574	81807	60466
575	81913	60297
576	82001	60115
577	82095	59938
578	82199	59768
579	82308	59602
580	82459	59467
581	82569	59302
582	82688	59144
583	82776	58963
584	82876	58792
585	82950	58603
586	83022	58412
587	83097	58224
588	83168	58034
589	83242	57846
590	83318	57660
591	83419	57491
592	83506	57313
593	83589	57133
594	83667	56950
595	83763	56779
596	83834	56591
597	83908	56406
598	83987	56225
599	84083	56055
600	84156	55870
601	84233	55689
602	84321	55514
603	84403	55337
604	84488	55162
605	84619	55016
606	84697	54837
607	84783	54663
608	84884	54498
609	84999	54344
610	85121	54193
611	85241	54041
612	85371	53896
613	85490	53745
614	85603	53589
615	85689	53417
616	85780	53247
617	85875	53081
618	85966	52912
619	86034	52731
620	86098	52546
621	86197	52383
622	86273	52207
623	86403	52063
624	86508	51905
625	86589	51732
626	86672	51561
627	86774	51401
628	86859	51231
629	87002	51096
630	87146	50962
631	87266	50813
632	87425	50687
633	87551	50542
634	87633	50372
635	87711	50199
636	87798	50032
637	87897	49872
638	88027	49730
639	88152	49585
640	88334	49472
641	88432	49312
642	88532	49154
643	88630	48994
644	88750	48846
645	88852	48690
646	88938	48524
647	89031	48363
648	89130	48204
649	89211	48036
650	89334	47891
651	89505	47772
652	89638	47633
653	89729	47471
654	89838	47319
655	89943	47165
656	90028	47000
657	90093	46826
658	90157	46652
659	90238	46486
660	90349	46336
661	90516	46215
662	90625	46064
663	90720	45906
664	90838	45760
665	91028	45651
666	91218	45541
667	91370	45411
668	91503	45272
669	91622	45127
670	91749	44986
671	91881	44846
672	91982	44692
673	92102	44548
674	92198	44391
675	92282	44230
676	92446	44106
677	92520	43940
678	92598	43776
679	92679	43613
680	92762	43452
681	92843	43290
682	92934	43133
683	93011	42970
684	93085	42805
685	93174	42648
686	93258	42488
687	93355	42335
688	93456	42184
689	93526	42019
690	93596	41854
691	93682	41696
692	93769	41539
693	93862	41386
694	93963	41235
695	94039	41074
696	94104	40909
697	94173	40745
698	94275	40596
699	94414	40463
700	94543	40325
701	94656	40181
702	94787	40045
703	94896	39899
704	95005	39754
705	95097	39601
706	95204	39455
707	95320	39312
708	95465	39182
709	95593	39045
710	95678	38890
711	95759	38734
712	95835	38575
713	95961	38438
714	96056	38288
715	96179	38149
716	96280	38001
717	96381	37854
718	96507	37717
719	96589	37562
720	96684	37413
721	96783	37265
722	96895	37123
723	96982	36971
724	97068	36818
725	97172	36674
726	97283	36531
727	97386	36386
728	97490	36241
729	97665	36123
730	97780	35982
731	97911	35847
732	98028	35707
733	98133	35563
734	98221	35413
735	98352	35278
736	98442	35129
737	98536	34981
738	98619	34830
739	98760	34699
740	98858	34553
741	98962	34410
742	99061	34264
743	99216	34138
744	99333	34000
745	99450	33861
746	99605	33735
747	99733	33599
748	99835	33456
749	99901	33300
750	99975	33147
751	100073	33003
752	100178	32860
753	100266	32712
754	100375	32572
755	100525	32444
756	100641	32306
757	100765	32170
758	100919	32044
759	101026	31902
760	101158	31769
761	101318	31645
762	101437	31508
763	101558	31371
764	101676	31233
765	101810	31101
766	101988	30982
767	102131	30852
768	102297	30729
769	102400	30587
770	102488	30440
771	102641	30313
772	102766	30178
773	102915	30050
774	103028	29911
775	103154	29776
776	103312	29650
777	103462	29522
778	103634	29400
779	103765	29267
780	103892	29132
781	104053	29007
782	104156	28865
783	104365	28753
784	104484	28616
785	104566	28469
786	104655	28324
787	104764	28185
788	104852	28040
789	104937	27894
790	105034	27752
791	105117	27606
792	105204	27461
793	105279	27314
794	105408	27180
795	105481	27032
796	105559	26886
797	105630	26738
798	105732	26598
799	105836	26459
800	105931	26317
801	106031	26177
802	106142	26039
803	106246	25900
804	106346	25760
805	106454	25622
806	106550	25482
807	106664	25346
808	106805	25216
809	106925	25081
810	107022	24941
811	107143	24806
812	107286	24677
813	107399	24541
814	107495	24400
815	107742	24294
816	107929	24175
817	108009	24031
818	108078	23885
819	108190	23749
820	108283	23608
821	108370	23466
822	108442	23322
823	108534	23182
824	108607	23037
825	108689	22895
826	108768	22753
827	108887	22619
828	109029	22489
829	109221	22370
830	109348	22238
831	109500	22110
832	109614	21975
833	109686	21832
834	109766	21690
835	109849	21549
836	109932	21408
837	110033	21271
838	110152	21137
839	110276	21004
840	110404	20873
841	110509	20737
842	110638	20605
843	110756	20471
844	110868	20336
845	110968	20200
846	111072	20063
847	111215	19934
848	111417	19816
849	111571	19689
850	111662	19550
851	111744	19410
852	111832	19272
853	111914	19132
854	111995	18993
855	112072	18853
856	112178	18718
857	112264	18579
858	112343	18440
859	112427	18302
860	112507	18163
861	112593	18025
862	112680	17887
863	112776	17751
864	112849	17612
865	112930	17474
866	113012	17336
867	113128	17203
868	113458	17103
869	113688	16987
870	113910	16870
871	114097	16748
872	114201	16613
873	114286	16476
874	114387	16341
875	114492	16206
876	114707	16087
877	114828	15955
878	114904	15817
879	115004	15682
880	115083	15544
881	115168	15407
882	115260	15272
883	115337	15134
884	115410	14996
885	115497	14860
886	115589	14725
887	115683	14590
888	115775	14455
889	115854	14319
890	115936	14182
891	116025	14047
892	116118	13913
893	116266	13785
894	116355	13650
895	116482	13520
896	116598	13388
897	116713	13256
898	116839	13126
899	116946	12994
900	117053	12861
901	117207	12734
902	117305	12600
903	117399	12467
904	117497	12333
905	117594	12200
906	117698	12068
907	117811	11936
908	117896	11802
909	117967	11667
910	118053	11533
911	118167	11402
912	118259	11268
913	118294	11130
914	118326	10992
915	118360	10854
916	118388	10715
917	118418	10577
918	118450	10440
919	118489	10303
920	118518	10166
921	118553	10029
922	118588	9893
923	118622	9756
924	118659	9621
925	118697	9485
926	118735	9350
927	118770	9214
928	118808	9080
929	118846	8945
930	118883	8810
931	118923	8676
932	118964	8543
933	119004	8409
934	119034	8275
935	119070	8141
936	119112	8008
937	119159	7876
938	119200	7743
939	119243	7611
940	119286	7479
941	119334	7347
942	119378	7215
943	119422	7084
944	119466	6953
945	119499	6821
946	119538	6690
947	119584	6559
948	119622	6428
949	119657	6297
950	119690	6167
951	119724	6036
952	119757	5906
953	119786	5775
954	119830	5646
955	119865	5516
956	119902	5387
957	119936	5258
958	119963	5128
959	120006	5000
960	120039	4871
961	120072	4742
962	120112	4614
963	120147	4486
964	120176	4358
965	120209	4230
966	120242	4103
967	120274	3976
968	120303	3848
969	120337	3721
970	120373	3595
971	120407	3468
972	120441	3342
973	120469	3215
974	120500	3089
975	120538	2964
976	120570	2838
977	120603	2712
978	120636	2587
979	120669	2462
980	120706	2337
981	120734	2213
982	120768	2088
983	120793	1964
984	120823	1839
985	120852	1715
986	120886	1592
987	120921	1468
988	120952	1345
989	120979	1222
990	121016	1099
991	121050	976
992	121096	853
993	121133	731
994	121173	608
995	121210	486
996	121238	364
997	121268	243
998	121304	121
999	121343	0
