lat,lon,densite,amenities,transports,shops,schools,parks,restaurants,healthcare,entertainment,cultural_places
51.08708331438633,2.5279166559778368,236.39544677734375,0,0,0,0,0,0,0,0,0
51.08708331438633,2.5362499892778363,191.21591186523438,0,0,0,0,0,0,0,0,0
51.08708331438633,2.5445833225778367,416.4169921875,0,0,0,0,0,0,0,0,0
51.078749981086325,2.494583322777837,123.03531646728516,0,0,0,0,0,0,0,0,0
51.078749981086325,2.5029166560778364,305.87457275390625,0,0,0,0,0,0,0,0,0
51.078749981086325,2.511249989377837,1345.788818359375,0,0,0,0,0,0,0,0,0
51.078749981086325,2.5195833226778364,1090.71240234375,0,0,0,0,0,0,0,0,0
51.078749981086325,2.5279166559778368,362.71710205078125,0,0,0,0,0,0,0,0,0
51.078749981086325,2.5362499892778363,215.72984313964844,0,0,0,0,0,0,0,0,0
51.078749981086325,2.5445833225778367,237.3732147216797,0,0,0,0,0,0,0,0,0
51.078749981086325,2.552916655877837,435.2372741699219,0,0,0,0,0,0,0,0,0
51.070416647786324,2.461249989577837,101.10640716552734,0,0,0,0,0,0,0,0,0
51.070416647786324,2.4695833228778366,225.58338928222656,0,0,0,0,0,0,0,0,0
51.070416647786324,2.477916656177837,862.2290649414062,0,0,0,0,0,0,0,0,0
51.070416647786324,2.4862499894778365,855.3862915039062,0,0,0,0,0,0,0,0,0
51.070416647786324,2.494583322777837,420.4275817871094,0,0,0,0,0,0,0,0,0
51.070416647786324,2.5029166560778364,258.2182922363281,0,0,0,0,0,0,0,0,0
51.070416647786324,2.511249989377837,986.9611206054688,0,0,0,0,0,0,0,0,0
51.070416647786324,2.5195833226778364,1609.448486328125,0,0,0,0,0,0,0,0,0
51.070416647786324,2.5279166559778368,866.2413940429688,0,0,0,0,0,0,0,0,0
51.070416647786324,2.5362499892778363,455.095947265625,0,0,0,0,0,0,0,0,0
51.070416647786324,2.5445833225778367,267.16265869140625,0,0,0,0,0,0,0,0,0
51.070416647786324,2.552916655877837,189.6578369140625,0,0,0,0,0,0,0,0,0
51.06208331448633,2.427916656377837,871.0692749023438,0,0,0,0,0,0,0,0,0
51.06208331448633,2.4362499896778367,719.0013427734375,0,0,0,0,0,0,0,0,0
51.06208331448633,2.444583322977837,235.84033203125,0,0,0,0,0,0,0,0,0
51.06208331448633,2.4529166562778366,195.7652587890625,0,0,0,0,0,0,0,0,0
51.06208331448633,2.461249989577837,293.6725158691406,0,0,0,0,0,0,0,0,0
51.06208331448633,2.4695833228778366,320.5597839355469,0,0,0,0,0,0,0,0,0
51.06208331448633,2.477916656177837,359.9656677246094,0,0,0,0,0,0,0,0,0
51.06208331448633,2.4862499894778365,797.1785278320312,0,0,0,0,0,0,0,0,0
51.06208331448633,2.494583322777837,748.9657592773438,0,0,0,0,0,0,0,0,0
51.06208331448633,2.5029166560778364,224.77410888671875,0,0,0,0,0,0,0,0,0
51.06208331448633,2.511249989377837,397.5644836425781,0,0,0,0,0,0,0,0,0
51.06208331448633,2.5195833226778364,555.6173095703125,0,0,0,0,0,0,0,0,0
51.06208331448633,2.5279166559778368,353.65924072265625,0,0,0,0,0,0,0,0,0
51.06208331448633,2.5362499892778363,109.08060455322266,0,0,0,0,0,0,0,0,0
51.06208331448633,2.5445833225778367,71.63785552978516,0,0,0,0,0,0,0,0,0
51.06208331448633,2.552916655877837,73.88459777832031,0,0,0,0,0,0,0,0,0
51.06208331448633,2.5612499891778366,80.75592041015625,0,0,0,0,0,0,0,0,0
51.05374998118633,2.3112499901778367,586.3596801757812,0,0,0,0,0,0,0,0,0
51.05374998118633,2.319583323477837,990.4789428710938,0,0,0,0,0,0,0,0,0
51.05374998118633,2.3279166567778367,1146.1268310546875,0,0,0,0,0,0,0,0,0
51.05374998118633,2.336249990077837,597.3152465820312,0,0,0,0,0,0,0,0,0
51.05374998118633,2.3445833233778366,726.2650756835938,0,0,0,0,0,0,0,0,0
51.05374998118633,2.352916656677837,827.9367065429688,0,0,0,0,0,0,0,0,0
51.05374998118633,2.3612499899778365,998.9976806640625,0,0,0,0,0,0,0,0,0
51.05374998118633,2.369583323277837,750.875244140625,0,0,0,0,0,0,0,0,0
51.05374998118633,2.386249989877837,851.96240234375,0,0,0,0,0,0,0,0,0
51.05374998118633,2.3945833231778364,864.62939453125,0,0,0,0,0,0,0,0,0
51.05374998118633,2.402916656477837,1937.0576171875,0,0,0,0,0,0,0,0,0
51.05374998118633,2.4112499897778363,2323.3994140625,79,0,0,2,0,3,1,0,1
51.05374998118633,2.4195833230778367,1466.2554931640625,0,0,0,0,0,0,0,0,0
51.05374998118633,2.427916656377837,1460.262451171875,0,0,0,0,0,0,0,0,0
51.05374998118633,2.4362499896778367,2281.515625,59,0,0,2,0,5,3,0,2
51.05374998118633,2.444583322977837,603.5502319335938,0,0,0,0,0,0,0,0,0
51.05374998118633,2.4529166562778366,664.4668579101562,0,0,0,0,0,0,0,0,0
51.05374998118633,2.461249989577837,1330.0086669921875,0,0,0,0,0,0,0,0,0
51.05374998118633,2.4695833228778366,1154.1617431640625,0,0,0,0,0,0,0,0,0
51.05374998118633,2.477916656177837,399.0925598144531,0,0,0,0,0,0,0,0,0
51.05374998118633,2.4862499894778365,150.84017944335938,0,0,0,0,0,0,0,0,0
51.05374998118633,2.494583322777837,177.55421447753906,0,0,0,0,0,0,0,0,0
51.05374998118633,2.5029166560778364,157.58993530273438,0,0,0,0,0,0,0,0,0
51.05374998118633,2.511249989377837,465.37591552734375,0,0,0,0,0,0,0,0,0
